ind,sex
SRR6236911,female
SRR6236912,female
SRR6236913,female
SRR6236914,female
SRR6236919,male
SRR6236920,female
SRR6236921,female
SRR6236922,female
SRR6236923,female
SRR6236924,female
SRR6236925,male
SRR6236926,female
SRR6236927,female
SRR6236928,female
SRR6236929,female
SRR6236930,female
SRR6236931,female
SRR6236932,female
SRR6236941,female
SRR6236957,male
SRR6236958,male
SRR6236959,male
SRR6236960,male
SRR6236962,female
SRR6236963,female
SRR6236964,female
SRR6236965,female
SRR6236966,female
SRR6236967,female
SRR6236968,female
SRR6236971,female
SRR6236972,female
SRR6236973,female
SRR6236974,female
SRR6236975,female
SRR6236976,female